episode_id	rec_id	chef_id	cuisine
1	3	13	American
1	9	22	Italian
1	11	11	Chinese
1	17	25	French
1	19	10	Thai
1	33	20	Japanese
1	39	2	Greek
1	44	4	Mexican
1	49	5	Indian
1	53	7	Spanish
2	8	16	French
2	12	9	Italian
2	18	4	Mexican
2	27	6	Greek
2	34	10	Chinese
2	43	22	Japanese
2	48	7	Thai
2	52	21	American
2	65	13	Indian
2	67	23	Spanish
3	7	7	Indian
3	13	23	Chinese
3	21	17	French
3	28	12	Greek
3	36	21	Thai
3	40	25	Japanese
3	45	15	Spanish
3	50	16	Italian
3	56	3	Mexican
3	64	8	American
4	4	16	Spanish
4	14	22	Mexican
4	20	14	Italian
4	23	5	Indian
4	29	10	Chinese
4	35	6	French
4	42	12	Thai
4	47	8	Japanese
4	51	15	American
4	62	3	Greek
5	2	17	Greek
5	10	2	French
5	15	12	Indian
5	22	10	Mexican
5	30	1	Italian
5	37	8	Chinese
5	46	20	Thai
5	55	22	Japanese
5	61	14	American
5	73	24	Spanish
