episode_id	_year	_order	chef_id_of_winner
1	2020	0	13
2	2020	1	9
3	2020	2	23
4	2020	3	16
5	2020	4	17
6	2020	5	3
7	2020	6	3
8	2020	7	14
9	2020	8	25
10	2020	9	1
11	2021	0	17
12	2021	1	4
13	2021	2	11
14	2021	3	19
15	2021	4	2
16	2021	5	21
17	2021	6	9
18	2021	7	6
19	2021	8	15
20	2021	9	24
21	2022	0	18
22	2022	1	7
23	2022	2	10
24	2022	3	13
25	2022	4	22
26	2022	5	5
27	2022	6	25
28	2022	7	12
29	2022	8	3
30	2022	9	16
31	2023	0	20
32	2023	1	4
33	2023	2	14
34	2023	3	23
35	2023	4	8
36	2023	5	11
37	2023	6	19
38	2023	7	2
39	2023	8	21
40	2023	9	9
41	2024	0	6
42	2024	1	18
43	2024	2	10
44	2024	3	13
45	2024	4	22
46	2024	5	5
47	2024	6	7
48	2024	7	1
49	2024	8	15
50	2024	9	24
