chef_id	episode_id	All_3_Ratings
6	2	030709
8	2	050806
13	2	100102
20	2	040908
5	2	020510
16	2	080704
3	2	090305
22	2	010809
12	2	070401
11	2	060207
17	3	090602
18	3	081005
25	3	070401
19	3	050306
21	3	040910
7	3	030807
23	3	020508
10	3	010209
4	3	100603
24	3	060104
25	4	050307
21	4	020410
23	4	070809
17	4	090506
7	4	031002
6	4	080604
20	4	010503
8	4	100908
10	4	060107
12	4	040302
12	5	020807
16	5	010509
14	5	061003
19	5	050401
9	5	100708
18	5	030605
24	5	090210
15	5	080304
22	5	070602
11	5	040109
