id	CookingorConfectionary	Nation	Difficulty_level	recipe_name	description_	prep_time	cook_time	portions	basic_ingredient
1	1	Italian	3	Spaghetti Carbonara	Classic Italian pasta dish made with eggs, cheese, bacon, and black pepper.	30	40	4	Spaghetti
2	0	French	4	Crème Brûlée	Delicious French dessert consisting of rich custard topped with caramelized sugar.	45	60	6	Egg yolks
3	1	Mexican	2	Tacos al Pastor	Authentic Mexican street food made with marinated pork cooked on a vertical rotisserie.	60	50	8	Pork shoulder
4	1	Japanese	3	Sushi Rolls	Popular Japanese dish made with vinegared rice, seafood, and vegetables rolled in seaweed.	50	70	6	Sushi rice
5	0	American	5	New York Cheesecake	Classic American dessert with a rich and creamy cheesecake filling on a graham cracker crust.	70	90	8	Cream cheese
6	1	Thai	2	Pad Thai	Traditional Thai stir-fried noodle dish with shrimp, tofu, eggs, and peanuts in a tangy sauce.	40	30	4	Rice noodles
7	0	Spanish	3	Paella	Famous Spanish rice dish cooked with saffron, seafood, chicken, and vegetables.	55	75	6	Short-grain rice
8	1	Indian	4	Chicken Tikka Masala	Popular Indian curry dish with tender chicken pieces cooked in a creamy tomato-based sauce.	65	50	6	Chicken breast
9	1	Greek	3	Moussaka	Classic Greek dish made with layers of eggplant, potatoes, ground meat, and béchamel sauce.	90	110	8	Eggplant
10	0	Chinese	2	Dumplings	Chinese dumplings filled with ground pork, cabbage, and spices, served with dipping sauce.	50	40	6	Ground pork
11	1	Italian	3	Spaghetti Carbonara	A classic Italian pasta dish made with eggs, cheese, pancetta, and black pepper.	20	15	4	pasta
12	0	Indian	4	Chicken Tikka Masala	A popular Indian dish consisting of marinated and grilled chicken pieces served in a spiced tomato-based curry sauce.	30	25	4	chicken
13	1	French	2	Crème Brûlée	A rich and creamy French dessert made with a smooth custard base topped with a layer of caramelized sugar.	20	35	4	cream
14	1	Mexican	1	Chicken Enchiladas	Traditional Mexican dish made with corn tortillas filled with seasoned chicken, cheese, and topped with enchilada sauce.	25	30	6	chicken
15	0	Italian	5	Tiramisu	A classic Italian dessert made with layers of coffee-soaked ladyfingers, mascarpone cheese, and cocoa powder.	30	20	6	coffee
16	1	Thai	4	Pad Thai	A popular Thai street food dish made with stir-fried rice noodles, eggs, tofu, shrimp, and a tangy sauce.	25	20	4	noodles
17	0	Mexican	3	Guacamole	Fresh and flavorful Mexican dip made with mashed avocado, lime juice, tomatoes, onions, and cilantro.	15	30	6	avocado
18	1	French	2	Soufflé	A delicate French dessert made with beaten egg whites and various flavorings, baked until puffed and golden.	35	25	4	egg
19	1	Japanese	4	Sushi	Rolled sushi made with vinegared rice, fish, and vegetables, often served with soy sauce and wasabi.	30	30	4	fish
20	0	Italian	3	Margherita Pizza	A classic Italian pizza topped with tomato sauce, fresh mozzarella cheese, basil leaves, and a drizzle of olive oil.	20	15	4	dough
21	0	Mexican	4	Tacos	Authentic Mexican street food made with corn or flour tortillas filled with various fillings such as seasoned meat, beans, and salsa.	25	20	4	meat
22	1	Indian	3	Palak Paneer	A North Indian dish made with spinach (palak) and paneer (Indian cottage cheese) cooked in a spiced creamy sauce.	25	30	4	spinach
23	0	Thai	4	Tom Yum Goong	A spicy and sour Thai soup made with shrimp, lemongrass, kaffir lime leaves, galangal, and chili peppers.	20	30	4	shrimp
24	1	French	2	Quiche Lorraine	A classic French savory tart made with a custard filling of eggs, cream, cheese, and bacon, baked in a pastry crust.	30	35	4	egg
25	1	Mexican	3	Chiles Rellenos	Traditional Mexican dish consisting of roasted poblano peppers stuffed with cheese, then battered and fried.	25	35	4	peppers
26	0	Italian	4	Chicken Alfredo	Pasta dish made with fettuccine noodles, chicken, and a rich Alfredo sauce made from butter, cream, and Parmesan cheese.	25	25	4	chicken
27	1	Japanese	3	Tempura	Light and crispy Japanese dish consisting of battered and deep-fried seafood and vegetables.	20	20	4	seafood
28	1	Italian	4	Bruschetta	Classic Italian appetizer made with toasted bread topped with diced tomatoes, garlic, basil, and olive oil.	15	10	4	tomatoes
29	0	Indian	4	Palak Chicken	Creamy Indian curry made with tender chicken pieces cooked in a spinach-based sauce flavored with spices.	30	35	4	chicken
30	0	Thai	3	Pad See Ew	A popular Thai stir-fried noodle dish made with wide rice noodles, Chinese broccoli, eggs, and a savory sauce.	25	20	4	noodles
31	1	French	3	Coq au Vin	A classic French dish of chicken braised with wine, mushrooms, onions, and bacon.	40	60	4	Chicken
32	0	Italian	4	Lasagna	Classic Italian pasta dish made with layers of pasta, meat sauce, and cheese.	60	45	6	Pasta
33	1	Thai	2	Green Curry	Spicy Thai curry made with green curry paste, coconut milk, vegetables, and choice of meat.	30	40	4	Coconut milk
34	1	Japanese	3	Ramen	Japanese noodle soup dish with wheat noodles, broth, and toppings like sliced pork, green onions, and egg.	45	50	4	Wheat noodles
35	0	Mexican	4	Burritos	Mexican dish consisting of a flour tortilla wrapped around various fillings such as meat, beans, rice, and cheese.	30	25	4	Flour tortilla
36	1	Indian	3	Butter Chicken	Indian curry dish made with marinated chicken cooked in a spiced tomato-based sauce with butter and cream.	50	45	4	Chicken thighs
37	0	French	4	Tarte Tatin	French upside-down pastry with caramelized fruit (usually apples) topped with pastry and baked until golden.	40	35	4	Apples
38	1	Italian	2	Risotto	Italian rice dish cooked in broth to a creamy consistency, often flavored with ingredients such as mushrooms or seafood.	40	35	4	Arborio rice
39	0	Japanese	3	Tonkatsu	Japanese dish consisting of breaded and deep-fried pork cutlets served with tonkatsu sauce and shredded cabbage.	30	40	4	Pork cutlets
40	1	Thai	4	Red Curry	Spicy Thai curry made with red curry paste, coconut milk, vegetables, and choice of meat.	35	45	4	Red curry paste
41	1	Italian	3	Caponata	Sicilian eggplant dish consisting of cooked vegetables, tomatoes, olives, and capers, often served as a side dish or relish.	45	40	4	Eggplant
42	0	French	4	Potato Dauphinoise	French dish of sliced potatoes baked in milk or cream, usually with grated cheese on top.	35	50	4	Potatoes
43	1	Indian	2	Tandoori Chicken	Indian dish of chicken marinated in a mixture of yogurt and spices, then grilled or roasted.	45	40	4	Chicken drumsticks
44	1	Mexican	3	Mole Poblano	Rich Mexican sauce made with chili peppers, chocolate, spices, and other ingredients, served over meat.	60	50	4	Chocolate
45	0	Italian	4	Cannoli	Sicilian pastry consisting of tube-shaped shells of fried pastry dough filled with a sweet, creamy filling containing ricotta.	40	30	4	Ricotta cheese
46	1	Japanese	3	Miso Soup	Traditional Japanese soup made with miso paste, tofu, seaweed, and other ingredients.	15	20	4	Miso paste
47	1	French	4	Bouillabaisse	Traditional Provençal fish stew originating from the port city of Marseille, usually made with various types of fish and shellfish.	50	60	4	Fish stock
48	0	Thai	3	Green Papaya Salad	Thai salad made from shredded unripe papaya, tomatoes, chili peppers, lime juice, fish sauce, and peanuts.	25	20	4	Green papaya
49	1	Italian	3	Osso Buco	Italian dish made with braised veal shanks cooked with vegetables, white wine, and broth, often served with gremolata.	60	70	4	Veal shanks
50	0	Mexican	4	Chimichangas	Deep-fried burritos popular in Tex-Mex cuisine, typically filled with shredded meat, cheese, and beans.	30	25	4	Shredded beef
