id	CookingorConfectionary	Nation	Difficulty_level	recipe_name	description_	prep_time	cook_time	portions	basic_ingredient_id	tip_1	tip_2	tip_3
1	1	Italian	3	Spaghetti Carbonara	Classic Italian pasta dish made with eggs, cheese, bacon, and black pepper.	30	40	4	0	NULL	NULL	NULL
2	0	French	4	Crème Brûlée	Delicious French dessert consisting of rich custard topped with caramelized sugar.	45	60	6	0	NULL	NULL	NULL
3	1	Mexican	2	Tacos al Pastor	Authentic Mexican street food made with marinated pork cooked on a vertical rotisserie.	60	50	8	0	NULL	NULL	NULL
4	1	Japanese	3	Sushi Rolls	Popular Japanese dish made with vinegared rice, seafood, and vegetables rolled in seaweed.	50	70	6	0	NULL	NULL	NULL
5	0	American	5	New York Cheesecake	Classic American dessert with a rich and creamy cheesecake filling on a graham cracker crust.	70	90	8	0	NULL	NULL	NULL
6	1	Thai	2	Pad Thai	Traditional Thai stir-fried noodle dish with shrimp, tofu, eggs, and peanuts in a tangy sauce.	40	30	4	0	NULL	NULL	NULL
7	0	Spanish	3	Paella	Famous Spanish rice dish cooked with saffron, seafood, chicken, and vegetables.	55	75	6	0	NULL	NULL	NULL
8	1	Indian	4	Chicken Tikka Masala	Popular Indian curry dish with tender chicken pieces cooked in a creamy tomato-based sauce.	65	50	6	0	NULL	NULL	NULL
9	1	Greek	3	Moussaka	Classic Greek dish made with layers of eggplant, potatoes, ground meat, and béchamel sauce.	90	110	8	0	NULL	NULL	NULL
10	0	Chinese	2	Dumplings	Chinese dumplings filled with ground pork, cabbage, and spices, served with dipping sauce.	50	40	6	0	NULL	NULL	NULL
11	1	Italian	3	Spaghetti Carbonara	A classic Italian pasta dish made with eggs, cheese, pancetta, and black pepper.	20	15	4	0	NULL	NULL	NULL
12	0	Indian	4	Chicken Tikka Masala	A popular Indian dish consisting of marinated and grilled chicken pieces served in a spiced tomato-based curry sauce.	30	25	4	0	NULL	NULL	NULL
13	1	French	2	Crème Brûlée	A rich and creamy French dessert made with a smooth custard base topped with a layer of caramelized sugar.	20	35	4	0	NULL	NULL	NULL
14	1	Mexican	1	Chicken Enchiladas	Traditional Mexican dish made with corn tortillas filled with seasoned chicken, cheese, and topped with enchilada sauce.	25	30	6	0	NULL	NULL	NULL
15	0	Italian	5	Tiramisu	A classic Italian dessert made with layers of coffee-soaked ladyfingers, mascarpone cheese, and cocoa powder.	30	20	6	0	NULL	NULL	NULL
16	1	Thai	4	Pad Thai	A popular Thai street food dish made with stir-fried rice noodles, eggs, tofu, shrimp, and a tangy sauce.	25	20	4	0	NULL	NULL	NULL
17	0	Mexican	3	Guacamole	Fresh and flavorful Mexican dip made with mashed avocado, lime juice, tomatoes, onions, and cilantro.	15	30	6	0	NULL	NULL	NULL
18	1	French	2	Soufflé	A delicate French dessert made with beaten egg whites and various flavorings, baked until puffed and golden.	35	25	4	0	NULL	NULL	NULL
19	1	Japanese	4	Sushi	Rolled sushi made with vinegared rice, fish, and vegetables, often served with soy sauce and wasabi.	30	30	4	0	NULL	NULL	NULL
20	0	Italian	3	Margherita Pizza	A classic Italian pizza topped with tomato sauce, fresh mozzarella cheese, basil leaves, and a drizzle of olive oil.	20	15	4	0	NULL	NULL	NULL
