episode_id	rec_id	chef_id	cuisine
65	29	20	9
65	20	33	63
65	52	58	39
65	8	19	38
65	53	12	40
65	45	57	68
65	46	36	46
65	21	43	11
65	22	51	32
65	11	23	41
66	67	29	14
66	52	14	29
66	35	23	15
66	48	26	41
66	22	16	65
66	64	34	54
66	68	58	58
66	18	40	28
66	56	32	33
66	6	3	36
67	16	12	26
67	26	6	59
67	18	58	18
67	60	24	60
67	20	35	40
67	60	10	37
67	20	34	30
67	67	30	44
67	37	27	17
67	57	49	4
68	50	5	3
68	2	46	32
68	43	15	56
68	32	20	12
68	32	21	2
68	56	11	33
68	42	14	51
68	22	49	55
68	50	30	13
68	43	37	50
69	49	32	15
69	58	16	68
69	64	17	48
69	39	5	9
69	68	18	49
69	20	43	10
69	38	48	61
69	21	58	41
69	8	46	8
69	5	2	5
70	4	2	4
70	31	39	64
70	59	25	36
70	19	54	19
70	21	51	21
70	29	1	52
70	48	18	48
70	21	6	54
70	9	8	39
70	6	41	59
71	10	44	10
71	10	5	40
71	30	33	20
71	34	59	24
71	7	4	47
71	61	37	18
71	8	28	28
71	7	43	70
71	26	40	26
71	60	58	37
72	14	37	4
72	57	50	57
72	14	22	34
72	42	14	32
72	22	15	65
72	56	55	66
72	66	4	33
72	67	45	14
72	66	31	3
72	66	24	13
73	22	23	42
73	38	50	28
73	45	37	5
73	5	11	35
73	32	22	55
73	2	55	22
73	61	5	8
73	25	18	58
73	38	51	38
73	12	49	51
74	46	36	46
74	31	8	21
74	59	35	6
74	64	22	41
74	26	2	59
74	64	30	1
74	31	11	11
74	16	58	16
74	62	41	29
74	36	25	36
75	52	38	62
75	63	29	53
75	47	13	60
75	62	40	19
75	52	54	29
75	53	55	20
75	63	34	63
75	47	45	37
75	53	51	30
75	27	7	47
76	24	21	24
76	43	29	66
76	57	59	57
76	34	52	14
76	66	12	3
76	43	30	23
76	56	58	50
76	24	8	67
76	50	10	33
76	3	36	56
77	15	38	25
77	45	18	15
77	45	54	35
77	65	32	55
77	45	2	5
77	18	3	61
77	18	50	28
77	15	22	58
77	25	20	68
77	25	55	45
78	31	34	11
78	22	8	42
78	51	20	55
78	54	26	64
