episode_id	_year	_order	chef_id_of_winner
65	2025	2	33
66	2025	3	58
67	2025	4	10
68	2025	5	5
69	2025	6	2
70	2025	7	8
71	2025	8	44
72	2025	9	55
73	2026	0	37
74	2026	1	25
75	2026	2	7
76	2026	3	8
77	2026	4	32
78	2026	5	48
79	2026	6	1
80	2026	7	48
81	2026	8	39
82	2026	9	47
83	2027	0	1
84	2027	1	53
85	2027	2	42
86	2027	3	8
87	2027	4	55
88	2027	5	32
89	2027	6	50
90	2027	7	39
91	2027	8	19
92	2027	9	36
93	2028	0	38
94	2028	1	6
95	2028	2	5
96	2028	3	54
97	2028	4	19
98	2028	5	59
99	2028	6	27
100	2028	7	10
101	2028	8	14
102	2028	9	34
103	2029	0	14
104	2029	1	10
105	2029	2	51
106	2029	3	33
107	2029	4	32
108	2029	5	33
109	2029	6	1
110	2029	7	53
111	2029	8	10
112	2029	9	43
113	2030	0	13
114	2030	1	30
115	2030	2	52
116	2030	3	51
117	2030	4	50
118	2030	5	15
119	2030	6	60
120	2030	7	49
121	2030	8	54
122	2030	9	31
123	2031	0	42
124	2031	1	38
125	2031	2	10
126	2031	3	50
127	2031	4	47
128	2031	5	10
129	2031	6	49
130	2031	7	25
131	2031	8	48
132	2031	9	31
133	2032	0	59
134	2032	1	1
135	2032	2	22
136	2032	3	20
137	2032	4	30
138	2032	5	13
139	2032	6	43
140	2032	7	52
141	2032	8	13
142	2032	9	23
143	2025	0	45
144	2025	1	46
