rate_id	chef_id	episode_id	Rating_1	Rating_2	Rating_3
546	20	65	2	5	2
547	20	65	2	5	3
548	20	65	3	2	4
549	33	65	5	5	2
550	33	65	1	4	4
551	33	65	2	2	2
552	58	65	1	2	2
553	58	65	1	3	3
554	58	65	2	1	5
555	19	65	3	1	2
556	19	65	3	2	2
557	19	65	4	5	5
558	12	65	2	3	1
559	12	65	3	1	3
560	12	65	4	2	3
561	57	65	3	2	4
562	57	65	1	1	2
563	57	65	2	5	3
564	36	65	3	1	1
565	36	65	4	5	3
566	36	65	3	2	2
567	43	65	3	3	1
568	43	65	1	1	5
569	43	65	1	4	4
570	51	65	5	4	3
571	51	65	4	5	2
572	51	65	4	5	4
573	23	65	5	3	1
574	23	65	3	3	5
575	23	65	1	5	1
576	29	66	1	4	4
577	29	66	1	4	1
578	29	66	4	5	2
579	14	66	3	2	4
580	14	66	5	4	1
581	14	66	2	2	2
582	23	66	2	3	4
583	23	66	2	2	5
584	23	66	5	3	5
585	26	66	3	4	5
586	26	66	2	5	3
587	26	66	5	5	4
588	16	66	1	3	1
589	16	66	3	1	2
590	16	66	3	1	2
591	34	66	1	1	4
592	34	66	3	5	3
593	34	66	4	3	5
594	58	66	4	5	5
595	58	66	5	5	5
596	58	66	5	2	5
597	40	66	2	4	3
598	40	66	4	5	5
599	40	66	4	1	5
600	32	66	1	2	3
601	32	66	4	2	5
602	32	66	3	3	5
603	3	66	1	5	5
604	3	66	3	4	4
605	3	66	5	1	1
606	12	67	2	1	5
607	12	67	1	5	1
608	12	67	1	3	4
609	6	67	3	5	2
610	6	67	5	3	3
611	6	67	1	3	1
612	58	67	1	1	5
613	58	67	1	5	3
614	58	67	5	1	3
615	24	67	3	2	4
616	24	67	5	1	1
617	24	67	4	1	5
618	35	67	2	3	1
619	35	67	5	3	1
620	35	67	2	1	1
621	10	67	3	5	5
622	10	67	4	1	4
623	10	67	4	3	1
624	34	67	2	5	2
625	34	67	4	4	4
626	34	67	4	2	4
627	30	67	4	3	4
628	30	67	3	3	4
629	30	67	1	5	2
630	27	67	2	1	1
631	27	67	4	3	1
632	27	67	5	4	4
633	49	67	3	1	4
634	49	67	2	3	3
635	49	67	3	3	1
636	5	68	5	5	3
637	5	68	4	1	5
638	5	68	3	2	4
639	46	68	3	4	5
640	46	68	4	5	4
641	46	68	5	3	5
642	15	68	2	3	5
643	15	68	3	2	1
644	15	68	3	1	2
645	20	68	4	1	5
646	20	68	4	1	4
647	20	68	5	4	2
648	21	68	3	1	1
649	21	68	2	2	3
650	21	68	5	4	2
651	11	68	5	4	1
652	11	68	3	3	5
653	11	68	2	4	3
654	14	68	5	1	1
655	14	68	1	3	1
656	14	68	5	4	4
657	49	68	2	3	5
658	49	68	2	5	2
659	49	68	1	2	4
660	30	68	3	2	5
661	30	68	4	1	3
662	30	68	4	4	2
663	37	68	3	1	4
664	37	68	2	3	2
665	37	68	3	2	4
666	32	69	3	4	1
667	32	69	2	5	1
668	32	69	3	5	4
669	16	69	2	1	5
670	16	69	4	2	3
671	16	69	5	5	1
672	17	69	4	4	3
673	17	69	5	3	2
674	17	69	4	4	4
675	5	69	2	3	4
676	5	69	4	3	3
677	5	69	3	3	4
678	18	69	4	3	5
679	18	69	5	4	5
680	18	69	4	2	1
681	43	69	1	4	5
682	43	69	1	3	1
683	43	69	3	5	4
684	48	69	1	5	5
685	48	69	1	1	1
686	48	69	4	4	2
687	58	69	3	5	1
688	58	69	3	2	4
689	58	69	1	3	4
690	46	69	2	5	2
691	46	69	3	1	5
692	46	69	5	2	2
693	2	69	5	4	4
694	2	69	1	3	2
695	2	69	2	1	3
696	2	70	2	4	2
697	2	70	3	3	3
698	2	70	3	4	2
699	39	70	3	2	4
700	39	70	3	4	4
701	39	70	5	1	4
702	25	70	4	2	3
703	25	70	5	1	2
704	25	70	4	5	5
705	54	70	5	2	3
706	54	70	2	5	1
707	54	70	4	1	4
708	51	70	3	4	1
709	51	70	4	5	5
710	51	70	3	1	2
711	1	70	3	2	3
712	1	70	1	1	1
713	1	70	5	2	1
714	18	70	2	5	4
715	18	70	5	2	3
716	18	70	1	1	1
717	6	70	3	3	4
718	6	70	1	3	4
719	6	70	2	4	5
720	8	70	5	4	3
721	8	70	5	3	4
722	8	70	4	2	5
723	41	70	1	4	4
724	41	70	2	3	3
725	41	70	4	3	1
726	44	71	5	4	4
727	44	71	3	1	5
728	44	71	5	3	2
729	5	71	5	2	3
730	5	71	1	1	4
731	5	71	3	4	5
732	33	71	5	1	1
733	33	71	4	4	3
734	33	71	3	4	4
735	59	71	3	2	3
736	59	71	5	2	4
737	59	71	2	2	3
738	4	71	1	2	5
739	4	71	5	1	3
740	4	71	1	1	1
741	37	71	4	1	1
742	37	71	5	2	2
743	37	71	5	3	2
744	28	71	4	5	2
745	28	71	4	4	2
746	28	71	1	1	3
747	43	71	4	2	3
748	43	71	1	3	4
749	43	71	3	5	3
750	40	71	2	5	4
751	40	71	3	1	5
752	40	71	3	1	5
753	58	71	1	1	4
754	58	71	4	2	2
755	58	71	1	4	3
756	37	72	2	1	1
757	37	72	4	2	5
758	37	72	4	2	5
759	50	72	1	1	2
760	50	72	1	4	3
761	50	72	3	5	3
762	22	72	3	2	3
763	22	72	3	3	2
764	22	72	4	3	4
765	14	72	4	1	1
766	14	72	5	2	1
767	14	72	4	3	2
768	15	72	2	3	2
769	15	72	5	3	5
770	15	72	4	1	5
771	55	72	3	4	4
772	55	72	2	4	5
773	55	72	5	3	3
774	4	72	1	1	2
775	4	72	3	3	5
776	4	72	4	5	1
777	45	72	4	2	5
778	45	72	5	3	3
779	45	72	4	3	1
780	31	72	3	4	4
781	31	72	5	1	3
782	31	72	5	5	1
783	24	72	1	2	1
