step_id	rec_id	_order	step_details
1	1	1	Heat a large pot of water over high heat and bring to a boil.
2	1	2	Add the pasta to the boiling water and cook according to the package instructions until al dente.
3	1	3	Meanwhile, heat the olive oil in a large skillet over medium heat. Add the minced garlic and cook until fragrant, about 1 minute.
4	1	4	Add the diced onion and cook until softened, about 5 minutes.
5	1	5	Add the ground beef to the skillet and cook until browned, breaking it up with a spoon as it cooks.
6	1	6	Stir in the crushed tomatoes, tomato paste, Italian seasoning, salt, and pepper. Simmer for 10-15 minutes until the sauce thickens slightly.
7	1	7	Once the pasta is cooked, drain it and return it to the pot. Pour the sauce over the pasta and toss to combine.
8	1	8	Serve hot, garnished with grated Parmesan cheese and fresh basil leaves if desired.
9	2	1	In a heatproof bowl set over a pot of simmering water, melt the chocolate and butter together, stirring until smooth.
10	2	2	In a separate bowl, whisk together the egg yolks and sugar until pale and thickened.
11	2	3	Gradually pour the melted chocolate mixture into the egg mixture, stirring constantly.
12	2	4	In another bowl, whip the heavy cream until stiff peaks form. Gently fold the whipped cream into the chocolate mixture until well combined.
13	2	5	Divide the mousse mixture among serving glasses or ramekins. Refrigerate for at least 2 hours, or until set.
14	2	6	Before serving, garnish with whipped cream and chocolate shavings if desired.
15	3	1	Heat the oil in a large skillet over medium-high heat. Add the ground beef and cook until browned, breaking it up with a spoon as it cooks.
16	3	2	Add the diced onion and cook until softened, about 5 minutes.
17	3	3	Stir in the taco seasoning and cook for another 2-3 minutes.
18	3	4	Transfer the beef mixture to a serving dish and set aside.
19	3	5	In the same skillet, warm the tortillas for about 30 seconds on each side.
20	3	6	To assemble the tacos, place a spoonful of the beef mixture onto each tortilla. Top with your favorite toppings such as shredded lettuce, diced tomatoes, cheese, and salsa.
21	3	7	Serve immediately with lime wedges on the side.
22	4	1	Cook the sushi rice according to the package instructions and let it cool to room temperature.
23	4	2	Place a sheet of nori on a bamboo sushi mat, shiny side down.
24	4	3	Spread a thin layer of sushi rice evenly over the nori, leaving a 1-inch border along the top edge.
25	4	4	Arrange your desired fillings (such as sliced avocado, cucumber, and cooked shrimp) along the bottom edge of the nori sheet.
26	4	5	Using the bamboo mat, tightly roll up the nori sheet into a compact cylinder, applying gentle pressure to seal the edge.
27	4	6	Using a sharp knife, slice the sushi roll into 8 equal pieces and serve with soy sauce, pickled ginger, and wasabi on the side.
28	5	1	In a blender, combine the mango, yogurt, milk, honey, and ice cubes.
29	5	2	Blend until smooth and creamy, adding more milk if necessary to reach your desired consistency.
30	5	3	Pour the mango lassi into glasses and garnish with a slice of fresh mango or a sprinkle of ground cardamom if desired.
31	6	1	Preheat a grill or skillet over medium-high heat.
32	6	2	Form the ground beef into patties and season with salt and pepper.
33	6	3	Grill the burgers for 4-5 minutes on each side, or until cooked to your desired level of doneness.
34	6	4	While the burgers are cooking, toast the burger buns on the grill until lightly golden brown.
35	6	5	Assemble the burgers by placing a cooked patty on each bun and topping with your favorite toppings such as cheese, lettuce, tomato, and pickles.
36	6	6	Serve immediately with french fries or potato chips on the side.
37	7	1	In a bowl, whisk together the ketchup, vinegar, soy sauce, brown sugar, and cornstarch until smooth. Set aside.
38	7	2	Heat the vegetable oil in a large skillet or wok over high heat. Add the diced pork and cook until browned on all sides.
39	7	3	Remove the pork from the skillet and set aside. In the same skillet, add the bell peppers, pineapple chunks, and minced garlic. Cook until the vegetables are tender-crisp.
40	7	4	Return the cooked pork to the skillet and pour in the sauce mixture. Cook, stirring constantly, until the sauce has thickened and coats the pork and vegetables evenly.
41	7	5	Serve hot over steamed rice, garnished with sliced green onions and sesame seeds if desired.
42	8	1	Preheat the oven to 375°F (190°C). Grease a 9x13 inch baking dish with olive oil.
43	8	2	Peel the eggplants and slice them into 1/4-inch thick rounds. Place the slices in a colander and sprinkle with salt. Let them sit for 10-15 minutes to release excess moisture, then pat dry with paper towels.
44	8	3	Heat 2 tablespoons of olive oil in a large skillet over medium heat. Add the eggplant slices and cook until golden brown on both sides, about 5 minutes per side. Remove from the skillet and set aside.
45	8	4	In the same skillet, add another tablespoon of olive oil and sauté the onions until softened, about 5 minutes. Add the minced garlic and cook for another minute.
46	8	5	Spread a thin layer of tomato sauce in the bottom of the prepared baking dish. Arrange a layer of eggplant slices on top, followed by a layer of sautéed onions and garlic.
47	8	6	Repeat the layers until all of the eggplant, onions, and garlic are used up, finishing with a layer of eggplant on top. Sprinkle with grated Parmesan cheese.
48	8	7	Bake in the preheated oven for 30-35 minutes, or until the moussaka is bubbly and golden brown on top.
49	8	8	Let the moussaka cool for 10-15 minutes before slicing and serving. Enjoy!
50	9	1	In a medium saucepan, combine the coconut milk, water, rice, sugar, and salt.
51	9	2	Bring the mixture to a simmer over medium heat, then reduce the heat to low and cover.
52	9	3	Cook for 20-25 minutes, stirring occasionally, until the rice is tender and the mixture has thickened.
53	9	4	Stir in the vanilla extract and let the pudding cool slightly before serving.
54	9	5	Serve warm or chilled, topped with a sprinkle of cinnamon or toasted coconut flakes if desired.
55	10	1	Heat the olive oil in a large skillet or paella pan over medium heat.
56	10	2	Add the onion, bell pepper, and garlic, and cook until softened, about 5 minutes.
57	10	3	Add the rice and saffron to the skillet and cook for 1-2 minutes, stirring constantly.
58	10	4	Pour in the chicken broth and bring to a boil. Reduce the heat to low, cover, and simmer for 15-20 minutes, or until the rice is almost cooked through.
59	10	5	Stir in the shrimp, chicken, peas, and roasted red peppers. Cover and cook for an additional 5-7 minutes, or until the shrimp are pink and opaque and the chicken is cooked through.
60	10	6	Remove the skillet from the heat and let it sit, covered, for 5 minutes before serving.
61	10	7	Garnish with chopped parsley and lemon wedges, and serve hot.
62	11	1	In a large bowl, beat together the egg yolks and sugar until pale and creamy.
63	11	2	Add the mascarpone cheese to the bowl and beat until smooth and well combined.
64	11	3	In a separate bowl, whip the heavy cream until stiff peaks form.
65	11	4	Gently fold the whipped cream into the mascarpone mixture until smooth and creamy.
66	11	5	Combine the espresso and rum in a shallow dish. Dip each ladyfinger into the espresso mixture for a few seconds, then layer them in the bottom of a serving dish.
67	11	6	Spread half of the mascarpone mixture over the ladyfingers, then repeat with another layer of dipped ladyfingers and the remaining mascarpone mixture.
68	11	7	Cover the tiramisu and refrigerate for at least 4 hours, or overnight, to set.
69	11	8	Before serving, dust the top of the tiramisu with cocoa powder and garnish with chocolate shavings if desired.
70	12	1	Preheat the oven to 375°F (190°C). Line a baking sheet with parchment paper.
71	12	2	Unroll the croissant dough and separate it into triangles along the perforated lines.
72	12	3	Place a piece of chocolate or chocolate-hazelnut spread at the wide end of each triangle.
73	12	4	Roll up the croissants, starting at the wide end and tucking in the sides as you go.
74	12	5	Place the rolled croissants on the prepared baking sheet and brush the tops with beaten egg.
75	12	6	Bake for 12-15 minutes, or until the croissants are golden brown and puffed up.
76	12	7	Remove from the oven and let cool slightly before serving.
77	13	1	In a large bowl, mash the avocados with a fork until smooth but still slightly chunky.
78	13	2	Add the diced onion, jalapeño, cilantro, lime juice, and salt to the bowl, and stir until well combined.
79	13	3	Taste and adjust the seasoning as needed, adding more salt or lime juice if desired.
80	13	4	Transfer the guacamole to a serving bowl and garnish with additional cilantro and a sprinkle of red pepper flakes if desired.
81	13	5	Serve immediately with tortilla chips or sliced vegetables for dipping.
82	14	1	In a microwave-safe bowl, combine the mochiko flour and sugar. Stir in the water until smooth.
83	14	2	Cover the bowl with plastic wrap and microwave on high for 2 minutes. Remove from the microwave and stir.
84	14	3	Re-cover the bowl and microwave for an additional 2 minutes. Stir again.
85	14	4	Repeat the process of microwaving for 2 minutes and stirring until the mixture becomes thick and sticky.
86	14	5	Let the mochi dough cool slightly before handling. Dust a clean work surface with potato starch or cornstarch and transfer the mochi dough to the surface.
87	14	6	Using a sharp knife or bench scraper, divide the mochi dough into small pieces and shape them into balls.
88	14	7	Enjoy the mochi immediately, or store them in an airtight container for later. They are best when fresh.
89	15	1	In a large bowl, combine the yogurt, lemon juice, ginger, garlic, turmeric, garam masala, cumin, paprika, salt, and cayenne pepper.
